

Phone powered on Date =1970-03-21-12:59:06.395776
Phone Up Time(Seconds) =123
Phone Flash Version =payton-userdebug 7.1.1 NPW26.83-29 86 intcfg,test-keys
Phone boot mode =normal

TimeStamp,UpTime,dc_current_max,dc_online,dc_voltage_now,dc_present,bms_temp,bms_constant_charge_voltage,bms_charge_now_raw,bms_resistance,bms_charge_full_design,bms_current_now,bms_charge_now,bms_soc_reporting_ready,bms_charge_full,bms_capacity,bms_voltage_max_design,bms_debug_battery,bms_charge_counter,bms_voltage_ocv,bms_voltage_now,bms_battery_type,bms_cycle_count,bms_time_to_full_avg,bms_time_to_empty_avg,bms_resistance_id,bms_cycle_count_id,usb_real_type,usb_boost_current,usb_hw_current_max,usb_system_temp_level,usb_pd_current_max,usb_input_current_settled,usb_current_max,usb_typec_power_role,usb_num_system_temp_levels,usb_typec_mode,usb_input_current_now,usb_online,usb_voltage_max,usb_voltage_min,usb_voltage_now,usb_pe_start,usb_typec_cc_orientation,usb_pd_allowed,usb_pd_active,usb_ctm_current_max,usb_pr_swap,usb_present,main_fcc_delta,main_input_current_settled,main_current_max,main_input_voltage_settled,main_constant_charge_current_max,main_voltage_max,usbeb_current_max,usbeb_online,usbeb_present,wireless_system_temp_level,wireless_current_max,wireless_num_system_temp_levels,wireless_online,wireless_present,battery_age,battery_temp,battery_voltage_qnovo,battery_step_charging_step,battery_dp_dm,battery_charger_temp_max,battery_battery_charging_enabled,battery_input_suspend,battery_system_temp_level,battery_set_ship_mode,battery_rerun_aicl,battery_charger_temp,battery_input_current_limited,battery_current_now,battery_parallel_disable,battery_charge_done,battery_charge_rate,battery_charge_type,battery_capacity,battery_health,battery_num_system_temp_levels,battery_constant_charge_current_max,battery_status,battery_voltage_max,battery_voltage_now,battery_die_health,battery_technology,battery_step_charging_enabled,battery_present,battery_current_qnovo,pc_port_online,
1970-03-21-13:00:03.663724,180,500000,0,0,0,280,4389899,-111240,159911,3039000,161132,0,1,3039000,100,4400000,0,2363945,4356940,4339832,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),414404,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,359,0,161132,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4339832,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:00:04.606109,181,500000,0,0,0,280,4389899,-111240,159911,3039000,161132,0,1,3039000,100,4400000,0,2363945,4356940,4339832,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),303896,0,5000000,5000000,4960937,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,355,0,-218261,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4382801,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:00:12.216658,189,500000,0,0,0,280,4389899,-110714,203613,3039000,-203613,0,1,3039000,100,4400000,0,2364471,4373053,4383777,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),207202,0,5000000,5000000,5019531,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,341,0,-203613,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4383777,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:01:12.383040,249,500000,0,0,0,280,4389899,-107619,204834,3039000,-166015,0,1,3039000,100,4400000,0,2367566,4373053,4384021,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),156552,0,5000000,5000000,5019531,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,323,0,-166015,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4384021,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:02:12.573661,309,500000,0,0,0,270,4389899,-104872,204834,3039000,-149902,0,1,3039000,100,4400000,0,2370313,4373053,4383045,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),294687,0,5000000,5000000,5000000,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,318,0,-149902,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4383045,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:03:12.704103,369,500000,0,0,0,270,4389899,-102444,205322,3039000,-138183,0,1,3039000,100,4400000,0,2372741,4371588,4384021,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),133530,0,5000000,5000000,5058593,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,309,0,-138183,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4384021,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:03:22.834959,380,500000,0,0,0,270,4389899,-102047,205810,3039000,-136230,0,1,3039000,100,4400000,0,2373138,4371588,4383777,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),138134,0,5000000,5000000,5058593,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,309,0,-136230,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4383777,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:03:33.003222,390,500000,0,0,0,270,4389899,-101654,205810,3039000,-132812,0,1,3039000,100,4400000,0,2373532,4371588,4383777,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,3,0,812,0,0,0,0,0,309,0,-132812,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4383777,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:03:33.736916,390,500000,0,0,0,270,4389899,-101654,205810,3039000,-132812,0,1,3039000,100,4400000,0,2373532,4371588,4383777,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,3,0,812,0,0,0,0,0,309,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4368152,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:04:33.335602,450,500000,0,0,0,270,4389899,-101711,162109,3039000,2929,0,1,3039000,100,4400000,0,2373474,4356452,4363514,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),32231,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,3,0,812,0,0,0,0,0,300,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4363514,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:05:33.491508,510,500000,0,0,0,270,4389899,-101767,162109,3039000,2929,0,1,3039000,100,4400000,0,2373418,4356452,4364002,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,3,0,812,0,0,0,0,0,300,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4364002,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:06:33.665067,570,500000,0,0,0,260,4389899,-101823,162353,3039000,2929,0,1,3039000,100,4400000,0,2373362,4356940,4363270,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),18417,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,300,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4363270,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:07:33.817055,631,500000,0,0,0,260,4389899,-101879,162353,3039000,3417,0,1,3039000,100,4400000,0,2373306,4356940,4363514,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),18417,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4363270,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:08:33.925275,691,500000,0,0,0,260,4389899,-101935,162597,3039000,2929,0,1,3039000,100,4400000,0,2373250,4356452,4362293,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),18417,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362293,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:09:34.137488,751,500000,0,0,0,260,4389899,-101991,162597,3039000,3417,0,1,3039000,100,4400000,0,2373194,4357428,4363270,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),23022,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362293,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:10:34.296941,811,500000,0,0,0,260,4389899,-102048,162841,3039000,2929,0,1,3039000,100,4400000,0,2373137,4357428,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:11:34.460211,871,500000,0,0,0,260,4389899,-102102,162841,3039000,2929,0,1,3039000,100,4400000,0,2373083,4357916,4363270,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4363270,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:12:34.615879,931,500000,0,0,0,260,4389899,-102160,162841,3039000,2929,0,1,3039000,100,4400000,0,2373025,4357916,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),36835,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:13:34.816429,992,500000,0,0,0,260,4389899,-102215,162841,3039000,2929,0,1,3039000,100,4400000,0,2372970,4357916,4362293,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2441,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:14:34.938028,1052,500000,0,0,0,260,4389899,-102272,163330,3039000,3417,0,1,3039000,100,4400000,0,2372913,4357916,4362049,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),46044,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,3417,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362049,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:15:35.097061,1112,500000,0,0,0,260,4389899,-102328,163330,3039000,2929,0,1,3039000,100,4400000,0,2372857,4358405,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),41440,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2441,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:16:35.261650,1172,500000,0,0,0,260,4389899,-102384,163330,3039000,2929,0,1,3039000,100,4400000,0,2372801,4358893,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),41440,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:17:35.417049,1232,500000,0,0,0,260,4389899,-102440,163330,3039000,3417,0,1,3039000,100,4400000,0,2372746,4358893,4362293,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),36835,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362049,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:18:35.613527,1292,500000,0,0,0,260,4389899,-102496,163330,3039000,2929,0,1,3039000,100,4400000,0,2372689,4358893,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),46044,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:19:35.739848,1352,500000,0,0,0,260,4389899,-102552,163330,3039000,2929,0,1,3039000,100,4400000,0,2372633,4357916,4362049,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),23022,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362293,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:20:35.898309,1413,500000,0,0,0,260,4389899,-102609,163330,3039000,2929,0,1,3039000,100,4400000,0,2372576,4359381,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:21:36.057291,1473,500000,0,0,0,260,4389899,-102665,163330,3039000,2929,0,1,3039000,100,4400000,0,2372520,4359381,4362049,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),46044,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362049,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:22:36.218044,1533,500000,0,0,0,250,4389899,-102721,163574,3039000,3417,0,1,3039000,100,4400000,0,2372464,4359381,4361805,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),46044,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,250,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362293,Cool,Li-ion,0,1,-22,1,
